cxy,cyx,cxz,min_abs,site,max_weight,maj_score
0.09999999999999999,0.18,0.05,3.563823722419194e-14,198,0.161165081549014,0.6305789873583837
0.09999999999999999,0.19,0.0,1.5453933651620803e-14,198,0.17879749553338894,0.7686880527847217
0.09999999999999999,0.19,0.0125,1.5453933651620803e-14,198,0.17879749553338894,0.7686880527847217
0.09999999999999999,0.19,0.025,1.5453933651620803e-14,198,0.17879749553338894,0.7686880527847217
0.09999999999999999,0.19,0.037500000000000006,1.5453933651620803e-14,198,0.17879749553338894,0.7686880527847217
0.09999999999999999,0.19,0.05,1.5453933651620803e-14,198,0.17879749553338894,0.7686880527847217
0.09999999999999999,0.2,0.0,6.21247029257124e-15,198,0.2026556187472105,0.7864728248593674
0.09999999999999999,0.2,0.0125,6.21247029257124e-15,198,0.2026556187472105,0.7864728248593674
0.09999999999999999,0.2,0.025,6.21247029257124e-15,198,0.2026556187472105,0.7864728248593674
0.09999999999999999,0.2,0.037500000000000006,6.21247029257124e-15,198,0.2026556187472105,0.7864728248593674
0.09999999999999999,0.2,0.05,6.21247029257124e-15,198,0.2026556187472105,0.7864728248593674
0.09999999999999999,0.21,0.0,2.3028084366045513e-15,198,0.24269181471248666,0.539173124015275
0.09999999999999999,0.21,0.0125,2.3028084366045513e-15,198,0.24269181471248666,0.539173124015275
0.09999999999999999,0.21,0.025,2.3028084366045513e-15,198,0.24269181471248666,0.539173124015275
0.09999999999999999,0.21,0.037500000000000006,2.3028084366045513e-15,198,0.24269181471248666,0.539173124015275
0.09999999999999999,0.21,0.05,2.3028084366045513e-15,198,0.24269181471248666,0.539173124015275
0.11,0.09,0.0,4.2671360324567775e-11,198,0.12786682044480177,0.610334776477352
0.11,0.09,0.0125,4.2671360324567775e-11,198,0.12786682044480177,0.610334776477352
0.11,0.09,0.025,4.2671360324567775e-11,198,0.12786682044480177,0.610334776477352
0.11,0.09,0.037500000000000006,4.2671360324567775e-11,198,0.12786682044480177,0.610334776477352
0.11,0.09,0.05,4.2671360324567775e-11,198,0.12786682044480177,0.610334776477352
0.11,0.09999999999999999,0.0,1.5409686013716e-11,198,0.13159528932693287,0.8521587105473312
0.11,0.09999999999999999,0.0125,1.5409686013716e-11,198,0.13159528932693287,0.8521587105473312
0.11,0.09999999999999999,0.025,1.5409686013716e-11,198,0.13159528932693287,0.8521587105473312
0.11,0.09999999999999999,0.037500000000000006,1.5409686013716e-11,198,0.13159528932693287,0.8521587105473312
0.11,0.09999999999999999,0.05,1.5409686013716e-11,198,0.13159528932693287,0.8521587105473312
0.11,0.11,0.0,5.691905858935961e-12,198,0.13514806472166652,0.7071067804948384
0.11,0.11,0.0125,5.691905858935961e-12,198,0.13514806472166652,0.7071067804948384
0.11,0.11,0.025,5.691905858935961e-12,198,0.13514806472166652,0.7071067804948384
0.11,0.11,0.037500000000000006,5.691905858935961e-12,198,0.13514806472166652,0.7071067804948384
0.11,0.11,0.05,5.691905858935961e-12,198,0.13514806472166652,0.7071067804948384
0.11,0.12,0.0,2.101057456304002e-12,198,0.1385235367490642,0.5446994169239423
0.11,0.12,0.0125,2.101057456304002e-12,198,0.1385235367490642,0.5446994169239423
0.11,0.12,0.025,2.101057456304002e-12,198,0.1385235367490642,0.5446994169239423
0.11,0.12,0.037500000000000006,2.101057456304002e-12,198,0.1385235367490642,0.5446994169239423
0.11,0.12,0.05,2.101057456304002e-12,198,0.1385235367490642,0.5446994169239423
0.11,0.13,0.0,7.758982491683526e-13,198,0.1419898434754423,0.870719045589764
0.11,0.13,0.0125,7.758982491683526e-13,198,0.1419898434754423,0.870719045589764
0.11,0.13,0.025,7.758982491683526e-13,198,0.1419898434754423,0.870719045589764
0.11,0.13,0.037500000000000006,7.758982491683526e-13,198,0.1419898434754423,0.870719045589764
0.11,0.13,0.05,7.758982491683526e-13,198,0.1419898434754423,0.870719045589764
0.11,0.14,0.0,2.9117248948182164e-13,198,0.14549567260395413,0.5997012086851611
0.11,0.14,0.0125,2.9117248948182164e-13,198,0.14549567260395413,0.5997012086851611
0.11,0.14,0.025,2.9117248948182164e-13,198,0.14549567260395413,0.5997012086851611
0.11,0.14,0.037500000000000006,2.9117248948182164e-13,198,0.14549567260395413,0.5997012086851611
0.11,0.14,0.05,2.9117248948182164e-13,198,0.14549567260395413,0.5997012086851611
0.11,0.15,0.0,1.1381628542182795e-13,198,0.14993476612111087,0.7654907961178875
0.11,0.15,0.0125,1.1381628542182795e-13,198,0.14993476612111087,0.7654907961178875
0.11,0.15,0.025,1.1381628542182795e-13,198,0.14993476612111087,0.7654907961178875
0.11,0.15,0.037500000000000006,1.1381628542182795e-13,198,0.14993476612111087,0.7654907961178875
0.11,0.15,0.05,1.1381628542182795e-13,198,0.14993476612111087,0.7654907961178875
0.11,0.16,0.0,4.5490229426005526e-14,198,0.1553238894461662,0.7556161935949239
0.11,0.16,0.0125,4.5490229426005526e-14,198,0.1553238894461662,0.7556161935949239
0.11,0.16,0.025,4.5490229426005526e-14,198,0.1553238894461662,0.7556161935949239
0.11,0.16,0.037500000000000006,4.5490229426005526e-14,198,0.1553238894461662,0.7556161935949239
0.11,0.16,0.05,4.5490229426005526e-14,198,0.1553238894461662,0.7556161935949239
0.11,0.16999999999999998,0.0,1.8991055738052062e-14,198,0.173477581702507,0.6273028803099565
0.11,0.16999999999999998,0.0125,1.8991055738052062e-14,198,0.173477581702507,0.6273028803099565
0.11,0.16999999999999998,0.025,1.8991055738052062e-14,198,0.173477581702507,0.6273028803099565
