t,err_IP,err_Magnus
0.64,1.5898849675854808e-11,0.00037756286394581155
0.645,2.0338356409299047e-10,0.000391148967190321
0.65,1.7965629237656876e-10,0.000405160522854995
0.655,2.2095519820783173e-11,0.00041960583380873655
0.66,2.0096432382124142e-10,0.0004344931482381013
0.665,1.856114400515659e-10,0.0004498306452946962
0.67,1.3662039466024955e-11,0.00046562642094427815
0.675,2.3533429287449594e-10,0.000481888493305988
0.68,2.2213714652439525e-10,0.0004986247941104013
0.685,9.398315514380825e-12,0.0005158431583574984
0.6900000000000001,2.3258791122781607e-10,0.0005335513200202959
0.6950000000000001,2.346039127760867e-10,0.0005517569040183926
0.7000000000000001,2.4916520744270022e-11,0.0005704674171038771
0.705,2.363864089488479e-10,0.0005896902381606499
0.71,2.638777196862293e-10,0.0006094326232575215
0.715,4.1939287160882004e-11,0.0006297016853544872
0.72,2.3545322286884545e-10,0.0006505043859675715
0.725,2.8613989296899134e-10,0.000671847533637456
0.73,4.3156284918115204e-11,0.0006937377807810347
0.735,2.1200470410045126e-10,0.0007161816096661474
0.74,2.908787195021284e-10,0.0007391853292728291
0.745,7.885909453130786e-11,0.0007627550687136936
0.75,2.1108027669384702e-10,0.0007868967527775437
0.755,3.2370345482701494e-10,0.0008116161064264295
0.76,8.540928175628092e-11,0.0008369186575942512
0.765,1.7976911230872396e-10,0.0008628097272073541
0.77,3.0886290952815885e-10,0.0008892944088345183
0.775,1.0763714812920991e-10,0.0009163775817804791
0.78,1.710025535912873e-10,0.0009440638711680157
0.785,3.448824674181533e-10,0.0009723576559277596
0.79,1.4158833001611335e-10,0.00100126307721127
0.795,1.4155385158420127e-10,0.001030784033432382
0.8,3.259777429061103e-10,0.0010609241477741354
0.805,1.4185719250456133e-10,0.0010916867934958564
0.81,1.200027970697153e-10,0.0011230750455440094
0.8150000000000001,3.4564701737433533e-10,0.0011550916908208409
0.8200000000000001,2.0683480371407197e-10,0.0011877392416074024
0.8250000000000001,8.312743318916515e-11,0.0012210199334712962
0.8300000000000001,3.3311972982927304e-10,0.0012549356871040117
0.835,1.9533246823097743e-10,0.0012894881395535897
0.84,7.258446796314325e-11,0.0013246785920773211
0.845,3.0655953756903725e-10,0.0013605080239369595
0.85,2.6986175658650873e-10,0.001396977110079067
0.855,2.2496584090923013e-11,0.0014340862187718322
0.86,2.99660502187628e-10,0.0014718353734866853
0.865,2.578841474252805e-10,0.001510224285588247
0.87,4.7616229025487445e-11,0.0015492523019820393
0.875,2.0436661850897598e-10,0.0015889184239901036
0.88,2.915093502308095e-10,0.0016292213284840157
0.885,1.4854770512792028e-10,0.0016701593620729585
0.89,1.8235019585337782e-10,0.0017117305089450058
0.895,2.744926731757719e-10,0.001753932420329236
0.9,7.410892707502567e-11,0.0017967623662022074
0.905,1.0287220552321848e-10,0.001840217259418379
0.91,1.9657468578371456e-10,0.001884293679512635
0.915,2.5299251233899725e-10,0.0019289878613712192
0.92,5.368632310943851e-11,0.0019742956742732462
0.925,1.4590535201644815e-10,0.002020212644052226
0.93,1.6842875980855754e-10,0.0020667339128972967
0.935,5.294037600768341e-11,0.0021138542675349465
0.9400000000000001,6.0764891915167136e-12,0.0021615681649763676
0.9450000000000001,1.6170270020489145e-10,0.0022098697162548594
0.9500000000000001,2.5461452560324804e-10,0.002258752678237541
0.9550000000000001,1.868441193235398e-10,0.0023082104681421086
0.96,2.5313159277392378e-11,0.0023582361328101805
0.965,2.12629139878256e-10,0.002408822379279294
0.97,1.9995910961797748e-10,0.002459961601848626
0.975,9.749143163156801e-11,0.002511645865872872
0.98,9.474708233580753e-11,0.002563866905367796
0.985,1.7366156379105994e-11,0.002616616136801426
0.99,7.575922277078577e-11,0.0026698846367883234
0.995,4.602486806962199e-11,0.002723663173552163
1.0,2.018300041266854e-12,0.0027779422345812076
