t,a,b,c,q0,q1,q2,q3,phi
0.2,0.1161287942288339,0.0003395830135876843,0.00385475778211696,0.998312848813696,0.058031993587601804,5.765589943597988e-05,0.001933982814915286,0.004
0.20500000000000002,0.118835241431194,0.0003739820633527394,0.004146183364100381,0.9982331069174872,0.059382923349648536,6.355502640094138e-05,0.0020805357648972143,0.0041
0.21,0.12152752609234477,0.00041086363689241026,0.0044515596625482766,0.9981519292008852,0.06072668229914559,6.988874245397937e-05,0.002234145262344807,0.0042
0.215,0.12420535196941752,0.00045033497429050314,0.00477116796016112,0.9980693498500366,0.062063122625080916,7.667698581540142e-05,0.0023949573251608363,0.0043
0.22,0.1268684261541691,0.0004925045262177826,0.005105285593977459,0.9979854033273519,0.06339209836454877,8.394004550597484e-05,0.0025631161797126,0.0044
0.225,0.1295164593458622,0.0005374815624186488,0.005454185661390984,0.9979001243311175,0.06471346554263706,9.169840720386614e-05,0.0027387641016317923,0.0045000000000000005
0.23,0.13214916585126515,0.0005853761717111367,0.00581813702015053,0.997813547762644,0.0660270821764724,9.997278625019555e-05,0.002922041414706342,0.0046
0.23500000000000001,0.13476626358465216,0.0006362992619869168,0.006197404288360072,0.9977257086933979,0.0673328082792522,0.00010878416062361394,0.0031130864897650798,0.0047
0.24,0.13736747406780309,0.0006903625602112939,0.006592247844478723,0.9976366423321302,0.06863050586426614,0.00011815380386460156,0.00331203574355151,0.0048
0.245,0.13995252243000367,0.0007476786124232095,0.007002923827320748,0.9975463839920232,0.06992003894890969,0.00012810331793041693,0.003519023637582805,0.0049
0.25,0.14252113740804528,0.0008083607837352388,0.0074296841360555425,0.997454969057871,0.07120127355869225,0.00013865466596185634,0.003734182676989885,0.005
0.255,0.14507305145782662,0.0008725230626857253,0.00787277631946097,0.9973624329495625,0.07247407778650794,0.00014983011116956297,0.003957643347026078,0.0051
0.26,0.14760800125990534,0.0009402792267941955,0.00833244305682996,0.9972688110718966,0.07373832204682713,0.00016165185169652723,0.004189533821706954,0.005200000000000001
0.265,0.15012572702965613,0.001011744070089792,0.008808922835798719,0.9971741388044364,0.07499387873771622,0.00017414264299218588,0.0044299803434355535,0.0053
0.27,0.15262597300823413,0.0010870324643319333,0.00930244949084305,0.9970784514520458,0.07624062248750207,0.0001873253782583634,0.0046791069565688,0.0054
0.275,0.15510848755325374,0.0011662591947124126,0.009813252115062008,0.9969817842084681,0.07747843020296914,0.00020122304292589759,0.004937035453640313,0.0055000000000000005
0.28,0.15757302313878865,0.001249538959855398,0.01034155506017791,0.9968841721231451,0.07870718107259073,0.0002158587478400253,0.005203885371444396,0.005600000000000001
0.28500000000000003,0.16001933635537183,0.0013369863718174324,0.01088757793653632,0.9967856500682923,0.07992675656971329,0.00023125576216602862,0.005479773987139446,0.005700000000000001
0.29,0.16244718790999554,0.0014287159560874329,0.01145153561310605,0.9966862527062432,0.08113704045569567,0.00024743754599560266,0.005764816314367435,0.0058
0.295,0.16485634262611149,0.0015248421515866944,0.01203363821747919,0.9965860144570868,0.08233791878300628,0.00026442778263471216,0.0060591250993859615,0.0059
0.3,0.16724656944363048,0.0016254793106688827,0.012634091135871063,0.9964849694666172,0.08352927989828052,0.0002822504105540214,0.006362810817209222,0.006
0.305,0.1696176416556884,0.0017307411934556196,0.013253094813183606,0.9963831515656106,0.08471101456161549,0.00030092941074338594,0.006675981546768277,0.0061
0.31,0.17196933703378237,0.0018407407555106434,0.013890844618268259,0.9962805942332942,0.08588301601068085,0.000320488738035938,0.006998742889427327,0.0062
0.315,0.1743014374613946,0.0019555909052067803,0.014547531165629938,0.9961773305799225,0.08704517978324368,0.0003409527173509636,0.007331198156308965,0.0063
0.32,0.17661372933702038,0.0020754035959740383,0.015223339999493506,0.9960733933004671,0.08819740391733587,0.0003623456343821176,0.007673448167318526,0.0064
