tc,cross_comp_2,score,target_residual,braid_res,ybe_res,best_axis
0.9,0.06666666666666665,6.660497398834338,1.286397026022467,2.806063989778894,2.568036383032977,z
0.9,0.07499999999999998,6.663545174401812,1.3336645617447118,2.649895597573875,2.679985015083225,z
0.9,0.08333333333333331,6.666090913316724,1.3799696377494233,2.495769377504818,2.790351898062483,z
0.9,0.09166666666666665,6.669608926156489,1.425192817608355,2.346121651705621,2.8982944568425117,z
0.9,0.1,6.6754673198378,1.469214540564217,2.203298940991961,3.0029538382816217,z
0.9083333333333333,-0.1,6.169571798165294,0.4122910107735322,4.272054623264604,1.485226164127158,z
0.9083333333333333,-0.09166666666666667,6.230584721670393,0.4593162060947237,4.279482278401772,1.4917862371738981,z
0.9083333333333333,-0.08333333333333334,6.292266344755406,0.5081630006185524,4.280624790772318,1.5034785533645356,z
0.9083333333333333,-0.07500000000000001,6.354018276213689,0.5584511354775944,4.274403245334675,1.5211638954014202,z
0.9083333333333333,-0.06666666666666668,6.415236600679037,0.6098915599002583,4.259745646300917,1.5455993944778608,z
0.9083333333333333,-0.05833333333333334,6.475267339761123,0.6622554322045192,4.23562104484792,1.5773908627086834,z
0.9083333333333333,-0.05,6.533385287764242,0.7153538680079806,4.201077083849933,1.6169543359063283,z
0.9083333333333333,-0.04166666666666667,6.5887966339022785,0.7690246050090676,4.155279816104911,1.6644922127883,z
0.9083333333333333,-0.03333333333333334,6.640664403705014,0.8231231134529445,4.097554408128404,1.7199868821236663,z
0.9083333333333333,-0.02500000000000001,6.6881532712607115,0.8775165907482737,4.0274251411918085,1.7832115393206298,z
0.9083333333333333,-0.016666666666666677,6.7304878578485585,0.9320798543533971,3.944652978670286,1.8537550248248755,z
0.9083333333333333,-0.008333333333333345,6.767017157064709,0.986692505310065,3.8492688953030925,1.9310557564515507,z
0.9083333333333333,0.0,6.79727754541867,1.0412369577316327,3.7416011673979415,2.014439420289095,z
0.9083333333333333,0.008333333333333331,6.821047732736876,1.0955970693861223,3.622294905923598,2.1031557574271544,z
0.9083333333333333,0.016666666666666663,6.8383904863920515,1.1496571972859448,3.4923222726046044,2.1964110165015027,z
0.9083333333333333,0.024999999999999994,6.849677554694236,1.2033015593384162,3.352982039861194,2.2933939554946265,z
0.9083333333333333,0.033333333333333326,6.855595623475091,1.2564138204319217,3.205887416540526,2.393294386502644,z
0.9083333333333333,0.04166666666666666,6.857132261498897,1.3088768460643927,3.052941332025319,2.4953140834091863,z
0.9083333333333333,0.04999999999999999,6.855541662990733,1.3605725832433242,2.8962986168734504,2.5986704628739585,z
0.9083333333333333,0.05833333333333332,6.8522906487470605,1.411382039710997,2.7383147131525885,2.702593895883475,z
0.9083333333333333,0.06666666666666665,6.848985928929435,1.4611853403633663,2.581480701956123,2.8063198866099457,z
0.9083333333333333,0.07499999999999998,6.847284185047558,1.5098618451884467,2.42834463912053,2.909077700738581,z
0.9083333333333333,0.08333333333333331,6.848787314651705,1.5572903169049417,2.281419672963929,3.0100773247828347,z
0.9083333333333333,0.09166666666666665,6.854926574169031,1.6033491292326345,2.1430805981915437,3.108496846744853,y
0.9083333333333333,0.1,6.86684186206945,1.647916508708375,2.0154529438687696,3.203472409492305,y
0.9166666666666667,-0.1,6.52454956560616,0.5157434278025306,4.313499796094752,1.695306341708877,z
0.9166666666666667,-0.09166666666666667,6.590795640409281,0.5704518885155102,4.307153742639395,1.7131900092543764,z
0.9166666666666667,-0.08333333333333334,6.65463536181937,0.626144729433406,4.2930338505852506,1.7354567818007132,z
0.9166666666666667,-0.07500000000000001,6.715392768817456,0.6826227917159747,4.270128112684029,1.7626418644174526,z
