cxy,cyx,min_abs,site,max_weight,maj_sim
0.037500000000000006,0.1125,0.0026211728459353267,199,0.009949641079306812,0.1590816918186998
0.037500000000000006,0.125,0.0028846136514294463,0,0.009949641079306832,0.15270989394897672
0.037500000000000006,0.1375,0.0031502576992910036,0,0.009949641079308113,0.15033194333646227
0.037500000000000006,0.15000000000000002,0.003417591264334589,199,0.00994964107930686,0.16049792267431584
0.037500000000000006,0.1625,0.003686246783973231,199,0.009949641079307018,0.20242474138111444
0.037500000000000006,0.17500000000000002,0.0039559549389285185,199,0.009949641079307837,0.2188246541091815
0.037500000000000006,0.1875,0.00422651421735414,199,0.009949641079307896,0.35091011333625266
0.037500000000000006,0.2,0.004497771026224728,199,0.00994964107930688,0.1324380673455139
0.037500000000000006,0.21250000000000002,0.004769606357277033,199,0.009949641079307342,0.28033559484349735
0.037500000000000006,0.225,0.005041926638358696,199,0.009949641079308078,0.46571097721346355
0.037500000000000006,0.23750000000000002,0.005314657324229866,199,0.009949641079307629,0.47988046234301307
0.037500000000000006,0.25,0.005587738321143343,0,0.00994964107930677,0.1261461359881887
0.05,0.0,0.0011051835112187809,199,0.009949641079307974,0.4197440287231693
0.05,0.0125,0.0011391970881115265,199,0.009949641079306815,0.466628008446467
0.05,0.025,0.0012356327293485403,199,0.009949641079307667,0.24852932343953227
0.05,0.037500000000000006,0.0013814793890234629,199,0.009949641079307119,0.34421561825082403
0.05,0.05,0.0015629655104767715,199,0.009949641079306869,0.2928932188139526
0.05,0.0625,0.0017691568318739894,199,0.009949641079307263,0.3327695363200306
0.05,0.07500000000000001,0.001992397909248378,199,0.009949641079306803,0.22774713955129133
0.05,0.08750000000000001,0.002227568581653905,199,0.009949641079306877,0.20773989287315187
0.05,0.1,0.0024712654586970806,199,0.009949641079307667,0.3383321067602414
0.05,0.1125,0.0027211988117208374,199,0.00994964107930805,0.33640565903812525
0.05,0.125,0.0029757976750203197,199,0.009949641079308104,0.17262357445040066
0.05,0.1375,0.0032339603362728786,199,0.00994964107930731,0.1975572853793739
0.05,0.15000000000000002,0.003494897127913732,0,0.009949641079306794,0.15908169181869825
0.05,0.1625,0.003758030233645761,199,0.009949641079307313,0.4048972686898661
0.05,0.17500000000000002,0.0040229287047468115,199,0.009949641079307731,0.2960695892222365
0.05,0.1875,0.00428926547489672,199,0.009949641079307146,0.16579240005962603
0.05,0.2,0.004556788352446106,199,0.009949641079306815,0.143452511922186
0.05,0.21250000000000002,0.004825300061967187,0,0.009949641079306768,0.4572535361630927
0.05,0.225,0.005094644257574242,0,0.009949641079307254,0.282053006398044
0.05,0.23750000000000002,0.005364695551346342,199,0.0099496410793068,0.14905837615240947
0.05,0.25,0.005635352289805518,0,0.009949641079307207,0.3646282225794696
0.0625,0.0,0.0013814793890234523,199,0.009949641079308359,0.2609139167651132
0.0625,0.0125,0.0014088380724513795,0,0.009949641079307207,0.2113864435457059
0.0625,0.025,0.0014878988375101598,199,0.009949641079308104,0.4329537488600569
0.0625,0.037500000000000006,0.0016110679722232616,0,0.00994964107930686,0.3798777392600431
0.0625,0.05,0.0017691568318739894,199,0.009949641079307263,0.255119785590897
0.0625,0.0625,0.0019537068880959574,0,0.009949641079306735,0.29289321881395247
0.0625,0.07500000000000001,0.0021579397900784447,199,0.009949641079307485,0.28493173796726856
0.0625,0.08750000000000001,0.002376787010819059,199,0.009949641079307554,0.2522184380559318
0.0625,0.1,0.0026065700980744608,199,0.009949641079307061,0.3752528697167091
0.0625,0.1125,0.0028446401673565824,199,0.009949641079306995,0.30502684223445875
0.0625,0.125,0.00308908182337142,199,0.009949641079307027,0.198503450848996
0.0625,0.1375,0.0033384957938288056,199,0.009949641079307837,0.19091162301750464
0.0625,0.15000000000000002,0.0035918464114610745,199,0.009949641079307505,0.4260281302461669
0.0625,0.1625,0.0038483562654491044,199,0.009949641079307315,0.17107773968816697
0.0625,0.17500000000000002,0.004107433514045315,0,0.009949641079306995,0.19056880758203865
0.0625,0.1875,0.004368621409892026,0,0.00994964107930671,0.1590816918186958
0.0625,0.2,0.0046315628893296434,199,0.009949641079306872,0.15508150206493176
0.0625,0.21250000000000002,0.004895975428537924,199,0.009949641079306897,0.15160150241259285
0.0625,0.225,0.005161632960610674,0,0.009949641079307257,0.40322056101989323
0.0625,0.23750000000000002,0.005428352702934853,199,0.00994964107930687,0.15087223495677382
0.0625,0.25,0.005695985440557546,199,0.009949641079307963,0.18269946408291038
0.07500000000000001,0.0,0.0016577752668281709,199,0.009949641079307962,0.4377886585860953
0.07500000000000001,0.0125,0.0016806422127862695,199,0.009949641079307743,0.29586859529139165
0.07500000000000001,0.025,0.001747448563956866,0,0.009949641079306794,0.4494897427835709
0.07500000000000001,0.037500000000000006,0.0018534490940228798,199,0.009949641079307667,0.35204281131455006
0.07500000000000001,0.05,0.001992397909248378,199,0.009949641079306803,0.36439350553736183
0.07500000000000001,0.0625,0.0021579397900784447,199,0.009949641079307485,0.3009333524216652
0.07500000000000001,0.07500000000000001,0.002344448265715171,0,0.009949641079306749,0.29289321881395247
0.07500000000000001,0.08750000000000001,0.0025473221287871427,199,0.009949641079306931,0.2666158592971323
0.07500000000000001,0.1,0.0027629587780469258,199,0.009949641079307119,0.24498495674307608
