combo,values,min_abs_E
Z_X+Z_Y,0.2,5.663742e-03
Z_X+Z_Y,0.25,5.663742e-03
Z_X+Z_Y,0.3,5.663742e-03
X_X+Y_Y+Z_Z,0,5.663742e-03
X_X+Y_Y+Z_Z,0.05,2.463300e-02
X_X+Y_Y+Z_Z,0.1,7.116297e-03
X_X+Y_Y+Z_Z,0.15,1.809550e-02
X_X+Y_Y+Z_Z,0.2,1.090342e-02
X_X+Y_Y+Z_Z,0.25,1.994175e-02
X_X+Y_Y+Z_Z,0.3,6.422066e-03
X_X+Y_Y+X_Y,0,5.663742e-03
X_X+Y_Y+X_Y,0.05,5.847160e-02
X_X+Y_Y+X_Y,0.1,9.625346e-02
X_X+Y_Y+X_Y,0.15,1.059124e-01
X_X+Y_Y+X_Y,0.2,7.999636e-02
X_X+Y_Y+X_Y,0.25,5.776572e-02
X_X+Y_Y+X_Y,0.3,2.027384e-02
X_X+Y_Y+Y_X,0,5.663742e-03
X_X+Y_Y+Y_X,0.05,5.847160e-02
X_X+Y_Y+Y_X,0.1,9.625346e-02
X_X+Y_Y+Y_X,0.15,1.059124e-01
X_X+Y_Y+Y_X,0.2,7.999636e-02
X_X+Y_Y+Y_X,0.25,5.776572e-02
X_X+Y_Y+Y_X,0.3,2.027384e-02
X_X+Y_Y+X_Z,0,5.663742e-03
X_X+Y_Y+X_Z,0.05,2.060073e-03
X_X+Y_Y+X_Z,0.1,2.205897e-02
X_X+Y_Y+X_Z,0.15,2.443916e-02
X_X+Y_Y+X_Z,0.2,4.287488e-03
X_X+Y_Y+X_Z,0.25,3.908895e-02
X_X+Y_Y+X_Z,0.3,8.199504e-03
X_X+Y_Y+Y_Z,0,5.663742e-03
X_X+Y_Y+Y_Z,0.05,2.060073e-03
X_X+Y_Y+Y_Z,0.1,2.205897e-02
X_X+Y_Y+Y_Z,0.15,2.443916e-02
X_X+Y_Y+Y_Z,0.2,4.287488e-03
X_X+Y_Y+Y_Z,0.25,3.908895e-02
X_X+Y_Y+Y_Z,0.3,8.199504e-03
X_X+Y_Y+Z_X,0,5.663742e-03
X_X+Y_Y+Z_X,0.05,2.060073e-03
X_X+Y_Y+Z_X,0.1,2.205897e-02
X_X+Y_Y+Z_X,0.15,2.443916e-02
X_X+Y_Y+Z_X,0.2,4.287488e-03
X_X+Y_Y+Z_X,0.25,3.908895e-02
X_X+Y_Y+Z_X,0.3,8.199504e-03
X_X+Y_Y+Z_Y,0,5.663742e-03
X_X+Y_Y+Z_Y,0.05,2.060073e-03
X_X+Y_Y+Z_Y,0.1,2.205897e-02
X_X+Y_Y+Z_Y,0.15,2.443916e-02
X_X+Y_Y+Z_Y,0.2,4.287488e-03
X_X+Y_Y+Z_Y,0.25,3.908895e-02
X_X+Y_Y+Z_Y,0.3,8.199504e-03
X_X+Z_Z+X_Y,0,5.663742e-03
X_X+Z_Z+X_Y,0.05,5.945334e-02
X_X+Z_Z+X_Y,0.1,1.322419e-01
X_X+Z_Z+X_Y,0.15,2.197534e-01
X_X+Z_Z+X_Y,0.2,3.231735e-01
X_X+Z_Z+X_Y,0.25,4.357066e-01
X_X+Z_Z+X_Y,0.3,5.547597e-01
X_X+Z_Z+Y_X,0,5.663742e-03
X_X+Z_Z+Y_X,0.05,5.945334e-02
